school,gender_encoded,age,address,famsize,pstatus,medu,fedu,mjob,fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,dalc,walc,health,absences,g1,g2,target_grade,subject,g_avg,g_trend,target_passed,total_alcohol,social_score,has_health_issues,data_source
0,0,18,0,1,0,4,4,at_home,teacher,course,mother,2,2,0,0,0,0,0,1,1,1,0,4,3,4,1,1,3,6,5,6,6,math,5.67,0.05,0,2,3.6666666666666665,0,uci
0,0,17,0,1,0,1,1,at_home,other,course,father,1,2,0,0,1,0,0,1,1,1,0,5,3,3,1,1,3,4,5,5,6,math,5.33,0.05,0,2,3.6666666666666665,0,uci
0,0,15,0,0,0,1,1,at_home,other,other,mother,1,2,0,0,0,1,0,1,1,1,0,4,3,2,2,3,3,10,7,8,10,math,8.33,0.15,1,5,3.0,0,uci
0,0,15,0,1,0,4,2,health,services,home,mother,1,3,0,0,1,1,1,1,1,1,1,3,2,2,1,1,5,2,15,14,15,math,14.67,0.0,1,2,2.3333333333333335,0,uci
0,0,16,0,1,0,3,3,other,other,home,father,1,2,0,0,1,1,0,1,1,1,0,4,3,2,1,2,5,4,6,10,10,math,8.67,0.2,1,3,3.0,0,uci
0,1,16,0,0,0,4,3,services,other,reputation,mother,1,2,0,0,1,1,1,1,1,1,0,5,4,2,1,2,5,10,15,15,15,math,15.0,0.0,1,3,3.6666666666666665,0,uci
0,1,16,0,0,0,2,2,other,other,home,mother,1,2,0,0,0,0,0,1,1,1,0,4,4,4,1,1,3,0,12,12,11,math,11.67,-0.05,1,2,4.0,0,uci
0,0,17,0,1,0,4,4,other,teacher,home,mother,2,2,0,0,1,0,0,1,1,1,0,4,1,4,1,1,1,6,6,5,6,math,5.67,0.0,0,2,3.0,0,uci
0,1,15,0,0,0,3,2,services,other,home,mother,1,2,0,0,1,1,0,1,1,1,0,4,2,2,1,1,1,0,16,18,19,math,17.67,0.15,1,2,2.6666666666666665,0,uci
0,1,15,0,1,0,3,4,other,other,home,mother,1,2,0,0,1,1,1,1,1,1,0,5,5,1,1,1,5,0,14,15,15,math,14.67,0.05,1,2,3.6666666666666665,0,uci
0,0,15,0,1,0,4,4,teacher,health,reputation,mother,1,2,0,0,1,1,0,1,1,1,0,3,3,3,1,2,2,0,10,8,9,math,9.0,-0.05,0,3,3.0,0,uci
0,0,15,0,1,0,2,1,services,other,reputation,father,3,3,0,0,1,0,1,1,1,1,0,5,2,2,1,1,4,4,10,12,12,math,11.33,0.1,1,2,3.0,0,uci
0,1,15,0,0,0,4,4,health,services,course,father,1,1,0,0,1,1,1,1,1,1,0,4,3,3,1,3,5,2,14,14,14,math,14.0,0.0,1,4,3.3333333333333335,0,uci
0,1,15,0,1,0,4,3,teacher,other,course,mother,2,2,0,0,1,1,0,1,1,1,0,5,4,3,1,2,3,2,10,10,11,math,10.33,0.05,1,3,4.0,0,uci
0,1,15,0,1,0,2,2,other,other,home,other,1,3,0,0,1,0,0,1,1,1,1,4,5,2,1,1,3,0,14,16,16,math,15.33,0.1,1,2,3.6666666666666665,0,uci
0,0,16,0,1,0,4,4,health,other,home,mother,1,1,0,0,1,0,0,1,1,1,0,4,4,4,1,2,2,4,14,14,14,math,14.0,0.0,1,3,4.0,0,uci
0,0,16,0,1,0,4,4,services,services,reputation,mother,1,3,0,0,1,1,1,1,1,1,0,3,2,3,1,2,2,6,13,14,14,math,13.67,0.05,1,3,2.6666666666666665,0,uci
0,0,16,0,1,0,3,3,other,other,reputation,mother,3,2,0,0,1,0,1,1,1,1,0,5,3,2,1,1,4,4,8,10,10,math,9.33,0.1,1,2,3.3333333333333335,0,uci
0,1,17,0,1,0,3,2,services,services,course,mother,1,1,0,0,1,0,1,1,1,1,0,5,5,5,2,4,5,16,6,5,5,math,5.33,-0.05,0,6,5.0,0,uci
0,1,16,0,0,0,4,3,health,other,home,father,1,1,0,0,0,1,1,1,1,1,0,3,1,3,1,3,5,4,8,10,10,math,9.33,0.1,1,4,2.3333333333333335,0,uci
0,1,15,0,1,0,4,3,teacher,other,reputation,mother,1,2,0,0,0,0,0,1,1,1,0,4,4,1,1,1,1,0,13,14,15,math,14.0,0.1,1,2,3.0,0,uci
0,1,15,0,1,0,4,4,health,health,other,father,1,1,0,0,1,1,0,1,1,1,0,5,4,2,1,1,5,0,12,15,15,math,14.0,0.15,1,2,3.6666666666666665,0,uci
0,1,16,0,0,0,4,2,teacher,other,course,mother,1,2,0,0,0,0,1,1,1,1,0,4,5,1,1,3,5,2,15,15,16,math,15.33,0.05,1,4,3.3333333333333335,0,uci
0,1,16,0,0,0,2,2,other,other,reputation,mother,2,2,0,0,1,0,1,1,1,1,0,5,4,4,2,4,5,0,13,13,12,math,12.67,-0.05,1,6,4.333333333333333,0,uci
0,0,15,0,1,0,2,4,services,health,course,mother,1,3,0,0,1,1,1,1,1,1,0,4,3,2,1,1,5,2,10,9,8,math,9.0,-0.1,0,2,3.0,0,uci
0,0,16,0,1,0,2,2,services,services,home,mother,1,1,0,0,1,1,0,1,1,1,0,1,2,2,1,3,5,14,6,9,8,math,7.67,0.1,0,4,1.6666666666666667,0,uci
0,1,15,0,1,0,2,2,other,other,home,mother,1,1,0,0,1,1,0,1,1,1,0,4,2,2,1,2,5,2,12,12,11,math,11.67,-0.05,1,3,2.6666666666666665,0,uci
0,1,15,0,1,0,4,2,health,services,other,mother,1,1,0,0,0,1,0,1,1,1,0,2,2,4,2,4,1,4,15,16,15,math,15.33,0.0,1,6,2.6666666666666665,0,uci
0,1,16,0,0,0,3,4,services,other,home,mother,1,2,0,0,1,0,1,1,1,1,0,5,3,3,1,1,5,4,11,11,11,math,11.0,0.0,1,2,3.6666666666666665,0,uci
0,1,16,0,1,0,4,4,teacher,teacher,home,mother,1,2,0,0,1,1,1,1,1,1,1,4,4,5,5,5,5,16,10,12,11,math,11.0,0.05,1,10,4.333333333333333,0,uci
0,1,15,0,1,0,4,4,health,services,home,mother,1,2,0,0,1,1,0,1,1,1,0,5,4,2,3,4,5,0,9,11,12,math,10.67,0.15,1,7,3.6666666666666665,0,uci
0,1,15,0,1,0,4,4,services,services,reputation,mother,2,2,0,0,1,0,1,1,1,1,0,4,3,1,1,1,5,0,17,16,17,math,16.67,0.0,1,2,2.6666666666666665,0,uci
0,1,15,0,1,0,4,3,teacher,at_home,course,mother,1,2,0,0,1,0,1,1,1,1,1,4,5,2,1,1,5,0,17,16,16,math,16.33,-0.05,1,2,3.6666666666666665,0,uci
0,1,15,0,0,0,3,3,other,other,course,mother,1,2,0,0,0,0,1,1,1,1,0,5,3,2,1,1,2,0,8,10,12,math,10.0,0.2,1,2,3.3333333333333335,0,uci
0,1,16,0,1,0,3,2,other,other,home,mother,1,1,0,0,1,1,0,1,1,1,0,5,4,3,1,1,5,0,12,14,15,math,13.67,0.15,1,2,4.0,0,uci
0,0,15,0,1,0,2,3,other,other,other,father,2,1,0,0,1,0,1,1,1,1,0,3,5,1,1,1,5,0,8,7,6,math,7.0,-0.1,0,2,3.0,0,uci
0,1,15,0,0,0,4,3,teacher,services,home,mother,1,3,0,0,1,0,1,1,1,1,0,5,4,3,1,1,4,2,15,16,18,math,16.33,0.15,1,2,4.0,0,uci
0,1,16,0,1,0,4,4,other,teacher,reputation,mother,2,3,0,0,1,0,1,1,1,1,1,2,4,3,1,1,5,7,15,16,15,math,15.33,0.0,1,2,3.0,0,uci
0,0,15,0,1,0,3,4,services,health,course,mother,1,3,0,0,1,1,1,1,1,1,0,4,3,2,1,1,5,2,12,12,11,math,11.67,-0.05,1,2,3.0,0,uci
0,0,15,0,1,0,2,2,at_home,other,reputation,mother,1,1,0,0,1,1,1,1,1,1,0,4,3,1,1,1,2,8,14,13,13,math,13.33,-0.05,1,2,2.6666666666666665,0,uci
0,0,16,0,0,0,2,2,other,other,home,mother,2,2,0,0,1,0,1,1,1,1,1,3,3,3,1,2,3,25,7,10,11,math,9.33,0.2,1,3,3.0,0,uci
0,1,15,0,0,0,4,4,teacher,other,home,other,1,1,0,0,1,0,0,1,1,1,1,5,4,3,2,4,5,8,12,12,12,math,12.0,0.0,1,6,4.0,0,uci
0,1,15,0,1,0,4,4,services,teacher,course,father,1,2,0,0,1,0,1,1,1,1,0,4,3,3,1,1,5,2,19,18,18,math,18.33,-0.05,1,2,3.3333333333333335,0,uci
0,1,15,0,1,0,2,2,services,services,course,father,1,1,0,0,1,0,0,1,1,1,0,5,4,1,1,1,1,0,8,8,11,math,9.0,0.15,1,2,3.3333333333333335,0,uci
0,0,16,0,0,0,2,2,other,at_home,course,father,2,2,0,0,0,0,1,1,1,1,0,4,3,3,2,2,5,14,10,10,9,math,9.67,-0.05,0,4,3.3333333333333335,0,uci
0,0,15,0,0,0,4,3,other,other,course,mother,1,2,0,0,1,1,1,1,1,1,1,5,2,2,1,1,5,8,8,8,6,math,7.33,-0.1,0,2,3.0,0,uci
0,0,16,0,0,0,3,3,other,services,home,mother,1,2,0,0,1,0,0,1,1,1,0,2,3,5,1,4,3,12,11,12,11,math,11.33,0.0,1,5,3.3333333333333335,0,uci
0,1,16,0,1,0,4,3,health,services,reputation,mother,1,4,0,0,0,0,1,1,1,1,0,4,2,2,1,1,2,4,19,19,20,math,19.33,0.05,1,2,2.6666666666666665,0,uci
0,1,15,0,1,0,4,2,teacher,other,home,mother,1,2,0,0,1,1,0,1,1,1,0,4,3,3,2,2,5,2,15,15,14,math,14.67,-0.05,1,4,3.3333333333333335,0,uci
0,0,15,0,1,0,4,4,services,teacher,other,father,1,2,0,0,1,0,1,1,1,1,0,4,4,4,1,1,3,2,7,7,7,math,7.0,0.0,0,2,4.0,0,uci
0,0,16,0,0,0,2,2,services,services,course,mother,3,2,0,0,1,1,0,1,1,1,0,4,3,3,2,3,4,2,12,13,13,math,12.67,0.05,1,5,3.3333333333333335,0,uci
0,0,15,0,0,0,4,2,health,other,other,mother,1,2,0,0,1,1,0,1,1,1,0,4,3,3,1,1,5,2,11,13,13,math,12.33,0.1,1,2,3.3333333333333335,0,uci
0,1,15,0,0,0,4,2,health,health,other,father,2,1,0,0,0,0,0,1,1,1,0,5,5,5,3,4,5,6,11,11,10,math,10.67,-0.05,1,7,5.0,0,uci
0,0,15,0,1,0,4,4,services,services,course,mother,1,1,0,0,1,1,0,1,1,1,0,3,3,4,2,3,5,0,8,10,11,math,9.67,0.15,1,5,3.3333333333333335,0,uci
0,0,15,0,0,0,3,3,other,other,other,mother,1,1,0,0,0,1,0,1,1,1,0,5,3,4,4,4,1,6,10,13,13,math,12.0,0.15,1,8,4.0,0,uci
0,0,16,0,1,0,2,1,other,other,other,mother,1,2,0,0,0,1,1,1,1,1,1,5,3,4,1,1,2,8,8,9,10,math,9.0,0.1,1,2,4.0,0,uci
0,0,15,0,1,0,4,3,services,services,reputation,mother,1,2,0,0,1,1,1,1,1,1,0,4,3,2,1,1,1,0,14,15,15,math,14.67,0.05,1,2,3.0,0,uci
0,1,15,0,1,0,4,4,teacher,health,reputation,mother,1,2,0,0,1,0,1,1,1,1,0,3,2,2,1,1,5,4,14,15,15,math,14.67,0.05,1,2,2.3333333333333335,0,uci
0,1,15,0,0,0,1,2,other,at_home,home,father,1,2,0,0,1,0,1,1,1,1,0,4,3,2,1,1,5,2,9,10,9,math,9.33,0.0,0,2,3.0,0,uci
0,0,16,0,1,0,4,2,services,other,course,mother,1,2,0,0,1,0,0,1,1,1,0,4,2,3,1,1,5,2,15,16,16,math,15.67,0.05,1,2,3.0,0,uci
0,0,16,0,1,0,4,4,health,teacher,other,mother,1,2,0,0,1,0,1,1,1,1,0,2,4,4,2,3,4,6,10,11,11,math,10.67,0.05,1,5,3.3333333333333335,0,uci
0,0,16,0,1,0,1,1,services,services,course,father,4,1,0,0,1,0,1,1,1,1,1,5,5,5,5,5,5,6,10,8,11,math,9.67,0.05,1,10,5.0,0,uci
0,0,16,0,0,0,1,2,other,services,reputation,father,1,2,0,0,0,0,1,1,1,1,0,4,4,3,1,1,1,4,8,10,9,math,9.0,0.05,0,2,3.6666666666666665,0,uci
0,0,16,0,1,0,4,3,teacher,health,home,mother,1,3,0,0,1,1,1,1,1,1,0,3,4,4,2,4,4,2,10,9,9,math,9.33,-0.05,0,6,3.6666666666666665,0,uci
0,0,15,0,0,0,4,3,services,services,reputation,father,1,2,0,0,0,0,1,1,1,1,1,4,4,4,2,4,2,0,10,10,10,math,10.0,0.0,1,6,4.0,0,uci
0,0,16,0,0,0,4,3,teacher,services,course,mother,3,2,0,0,1,0,1,1,1,1,0,5,4,3,1,2,1,2,16,15,15,math,15.33,-0.05,1,3,4.0,0,uci
0,1,15,0,1,0,4,4,other,services,reputation,mother,1,4,0,0,1,0,1,1,1,1,1,1,3,3,5,5,3,4,13,13,12,math,12.67,-0.05,1,10,2.3333333333333335,0,uci
0,0,16,0,1,0,3,1,services,other,course,mother,1,4,0,0,1,1,0,1,1,1,0,4,3,3,1,2,5,4,7,7,6,math,6.67,-0.05,0,3,3.3333333333333335,0,uci
0,0,15,0,0,0,2,2,health,services,reputation,mother,2,2,0,0,1,1,0,1,1,1,0,4,1,3,1,3,4,2,8,9,8,math,8.33,0.0,0,4,2.6666666666666665,0,uci
0,0,15,0,0,0,3,1,other,other,reputation,father,2,4,0,0,1,0,0,1,1,1,0,4,4,2,2,3,3,12,16,16,16,math,16.0,0.0,1,5,3.3333333333333335,0,uci
0,1,16,0,1,0,3,1,other,other,reputation,father,2,4,0,0,1,1,0,1,1,1,0,4,3,2,1,1,5,0,13,15,15,math,14.33,0.1,1,2,3.0,0,uci
0,1,15,0,1,0,4,2,other,other,course,mother,1,4,0,0,0,0,0,1,1,1,0,3,3,3,1,1,3,0,10,10,10,math,10.0,0.0,1,2,3.0,0,uci
0,0,15,0,1,0,1,1,other,other,reputation,mother,1,2,0,0,1,0,0,1,1,1,1,3,3,4,2,4,5,2,8,6,5,math,6.33,-0.15,0,6,3.3333333333333335,0,uci
0,1,16,0,1,0,3,1,other,other,reputation,mother,1,1,0,0,0,0,1,1,1,1,0,5,3,2,2,2,5,2,12,12,14,math,12.67,0.1,1,4,3.3333333333333335,0,uci
0,0,16,0,1,0,3,3,other,services,home,mother,1,2,0,0,1,1,1,1,1,1,0,4,3,3,2,4,5,32,11,12,11,math,11.33,0.0,1,6,3.3333333333333335,0,uci
0,1,15,0,1,0,4,3,teacher,other,home,mother,1,2,0,0,1,1,1,1,1,1,0,4,3,3,2,3,5,6,9,9,10,math,9.33,0.05,1,5,3.3333333333333335,0,uci
0,1,15,0,1,0,4,0,teacher,other,course,mother,2,4,0,0,0,0,1,1,1,1,0,3,4,3,1,1,1,8,11,11,10,math,10.67,-0.05,1,2,3.3333333333333335,0,uci
0,0,16,0,1,0,2,2,other,other,reputation,mother,1,4,0,0,0,1,0,1,1,1,1,5,2,3,1,3,3,0,11,11,11,math,11.0,0.0,1,4,3.3333333333333335,0,uci
0,1,17,0,1,0,2,1,other,other,home,mother,2,1,0,0,1,0,1,1,1,1,0,4,5,1,1,1,3,2,8,8,10,math,8.67,0.1,1,2,3.3333333333333335,0,uci
0,0,16,0,1,0,3,4,at_home,other,course,mother,1,2,0,0,1,0,0,1,1,1,0,2,4,3,1,2,3,12,5,5,5,math,5.0,0.0,0,3,3.0,0,uci
0,1,15,0,1,0,2,3,other,services,course,father,1,1,0,0,1,1,1,1,1,1,1,3,2,2,1,3,3,2,10,12,12,math,11.33,0.1,1,4,2.3333333333333335,0,uci
0,1,15,0,1,0,2,3,other,other,home,mother,1,3,0,0,0,1,0,1,1,1,0,5,3,2,1,2,5,4,11,10,11,math,10.67,0.0,1,3,3.3333333333333335,0,uci
0,0,15,0,0,0,3,2,services,other,reputation,mother,1,2,0,0,1,1,0,1,1,1,0,4,4,4,1,1,5,10,7,6,6,math,6.33,-0.05,0,2,4.0,0,uci
0,1,15,0,0,0,2,2,services,services,home,mother,2,2,0,0,0,1,1,1,1,1,0,5,3,3,1,3,4,4,15,15,15,math,15.0,0.0,1,4,3.6666666666666665,0,uci
0,0,15,0,1,0,1,1,other,other,home,father,1,2,0,0,1,0,1,1,1,1,0,4,3,2,2,3,4,2,9,10,10,math,9.67,0.05,1,5,3.0,0,uci
0,0,15,0,1,0,4,4,services,services,reputation,father,2,2,0,0,0,1,0,1,1,1,1,4,4,4,2,3,5,6,7,9,8,math,8.0,0.05,0,5,4.0,0,uci
0,0,16,0,0,0,2,2,at_home,other,course,mother,1,2,0,0,1,0,0,1,1,1,0,4,3,4,1,2,2,4,8,7,6,math,7.0,-0.1,0,3,3.6666666666666665,0,uci
0,0,15,0,1,0,4,2,other,other,reputation,mother,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,3,1,4,13,14,14,math,13.67,0.05,1,4,3.6666666666666665,0,uci
0,1,16,0,1,0,2,2,services,other,reputation,father,2,2,0,0,0,1,1,1,1,1,0,4,4,2,1,1,3,12,11,10,10,math,10.33,-0.05,1,2,3.3333333333333335,0,uci
0,1,16,0,0,0,4,4,teacher,health,reputation,mother,1,2,0,0,1,0,0,1,1,1,0,4,1,3,3,5,5,18,8,6,7,math,7.0,-0.05,0,8,2.6666666666666665,0,uci
0,0,16,0,1,0,3,3,other,other,home,mother,1,3,0,0,1,1,0,1,1,1,1,4,3,3,1,3,4,0,7,7,8,math,7.33,0.05,0,4,3.3333333333333335,0,uci
0,0,15,0,1,0,4,3,services,other,reputation,mother,1,1,0,0,0,1,1,1,1,1,0,4,5,5,1,3,1,4,16,17,18,math,17.0,0.1,1,4,4.666666666666667,0,uci
0,0,16,0,0,0,3,1,other,other,home,father,1,2,0,0,1,0,0,1,1,1,0,3,3,3,2,3,2,4,7,6,6,math,6.33,-0.05,0,5,3.0,0,uci
0,0,16,0,1,0,4,2,teacher,services,home,mother,2,2,0,0,1,1,1,1,1,1,0,5,3,3,1,1,1,0,11,10,10,math,10.33,-0.05,1,2,3.6666666666666665,0,uci
0,1,15,0,0,0,2,2,services,health,reputation,mother,1,4,0,0,1,0,1,1,1,1,0,4,3,4,1,1,4,6,11,13,14,math,12.67,0.15,1,2,3.6666666666666665,0,uci
0,0,15,0,1,0,1,1,at_home,other,home,mother,2,4,0,0,1,1,1,1,1,1,0,3,1,2,1,1,1,2,7,10,10,math,9.0,0.15,1,2,2.0,0,uci
0,1,16,0,1,0,4,3,services,other,reputation,mother,2,1,0,0,1,0,1,1,1,1,0,3,3,3,1,1,4,2,11,15,15,math,13.67,0.2,1,2,3.0,0,uci
0,0,16,0,1,0,2,1,other,other,course,mother,1,2,0,0,1,1,0,1,1,1,1,4,3,5,1,1,5,2,8,9,10,math,9.0,0.1,1,2,4.0,0,uci
0,0,16,0,1,0,4,4,other,other,reputation,mother,1,1,0,0,0,0,1,1,1,1,0,5,3,4,1,2,1,6,11,14,14,math,13.0,0.15,1,3,4.0,0,uci
0,0,16,0,1,0,4,3,other,at_home,course,mother,1,3,0,0,1,1,0,1,1,1,0,5,3,5,1,1,3,0,7,9,8,math,8.0,0.05,0,2,4.333333333333333,0,uci
